title,abstract,update_date,ai_generated
Seeing maximum entropy from the principle of virtual work,"  We propose an extension of the principle of virtual work of mechanics to
random dynamics of mechanical systems. The total virtual work of the
interacting forces and inertial forces on every particle of the system is
calculated by considering the motion of each particle. Then according to the
principle of Lagrange-d'Alembert for dynamical equilibrium, the vanishing
ensemble average of the virtual work gives rise to the thermodynamic
equilibrium state with maximization of thermodynamic entropy. This approach
establishes a close relationship between the maximum entropy approach for
statistical mechanics and a fundamental principle of mechanics, and constitutes
an attempt to give the maximum entropy approach, considered by many as only an
inference principle based on the subjectivity of probability and entropy, the
status of fundamental physics law.
",2008-01-28,False
Seeing maximum entropy from the principle of virtual work,This research paper explores the principle of virtual work and its relationship with maximum entropy. The primary theme is the application of this principle in the context of statistical mechanics. The authors derive the maximum entropy principle from the principle of virtual work and show that it can be used to explain various phenomena in physics. The findings suggest that the principle of virtual work provides a powerful tool for understanding the principles underlying statistical mechanics. The paper concludes that the principle of virtual work has significant implications for understanding the behavior of complex systems in physics and other fields.,2008-01-28,True
Microlocal Asymptotic Analysis in Algebras of Generalized Functions,"  We introduce a new type of local and microlocal asymptotic analysis in
algebras of generalized functions, based on the presheaf properties of those
algebras and on the properties of their elements with respect to a regularizing
parameter. Contrary to the more classical frequential analysis based on the
Fourier transform, we can describe a singular asymptotic spectrum which has
good properties with respect to nonlinear operations. In this spirit we give
several examples of propagation of singularities through nonlinear operators.
",2009-04-18,False
Microlocal Asymptotic Analysis in Algebras of Generalized Functions,"The research paper discusses microlocal asymptotic analysis in algebras of generalized functions. It explores the connection between microlocal analysis and the theory of generalized functions, and demonstrates the usefulness of microlocal techniques in the study of singularities of solutions to differential equations. The paper provides a comprehensive overview of the theory of algebras of generalized functions, and the main results and techniques of microlocal asymptotic analysis. Noteworthy findings include the development of a systematic approach to the study of singularities of solutions to differential equations using microlocal techniques, and the demonstration of the effectiveness of this approach in various applications. Overall, the paper highlights the importance of microlocal analysis in the study of singularities of solutions to differential equations, and provides a valuable resource for researchers and graduate students in this field.",2009-04-18,True
Vacuum Energy and Renormalization on the Edge,"  The vacuum dependence on boundary conditions in quantum field theories is
analysed from a very general viewpoint. From this perspective the
renormalization prescriptions not only imply the renormalization of the
couplings of the theory in the bulk but also the appearance of a flow in the
space of boundary conditions. For regular boundaries this flow has a large
variety of fixed points and no cyclic orbit. The family of fixed points
includes Neumann and Dirichlet boundary conditions. In one-dimensional field
theories pseudoperiodic and quasiperiodic boundary conditions are also RG fixed
points. Under these conditions massless bosonic free field theories are
conformally invariant. Among all fixed points only Neumann boundary conditions
are infrared stable fixed points. All other conformal invariant boundary
conditions become unstable under some relevant perturbations. In finite volumes
we analyse the dependence of the vacuum energy along the trajectories of the
renormalization group flow providing an interesting framework for dark energy
evolution. On the contrary, the renormalization group flow on the boundary does
not affect the leading behaviour of the entanglement entropy of the vacuum in
one-dimensional conformally invariant bosonic theories.
",2008-11-26,False
Vacuum Energy and Renormalization on the Edge,"This research paper explores the role of vacuum energy and renormalization in quantum field theory on the edge. The central focus is to understand how these concepts can be applied to investigate the properties of the edge modes in topological phases of matter. Through mathematical calculations and simulations, the study reveals that the edge modes are affected by the vacuum energy and require renormalization to accurately describe their behavior. The significant outcomes of this research provide new insights into the understanding of quantum field theories on the edge and their potential applications in future technologies.",2008-11-26,True
Simplifying additivity problems using direct sum constructions,"  We study the additivity problems for the classical capacity of quantum
channels, the minimal output entropy and its convex closure. We show for each
of them that additivity for arbitrary pairs of channels holds iff it holds for
arbitrary equal pairs, which in turn can be taken to be unital. In a similar
sense, weak additivity is shown to imply strong additivity for any convex
entanglement monotone. The implications are obtained by considering direct sums
of channels (or states) for which we show how to obtain several information
theoretic quantities from their values on the summands. This provides a simple
and general tool for lifting additivity results.
",2007-08-21,False
Simplifying additivity problems using direct sum constructions,"This research paper aims to explore the use of direct sum constructions to simplify additivity problems. The direct sum construction is a mathematical technique that combines two or more objects into a single object. This paper investigates the effectiveness of this technique in solving additivity problems, which involve finding a function that satisfies certain properties when applied to the sum of two or more objects. By simplifying these problems using direct sum constructions, we can reduce the complexity of the problem and potentially find more efficient solutions. The paper provides examples of how this technique can be applied to various types of additivity problems, including those in algebra, topology, and functional analysis. The results demonstrate that direct sum constructions can indeed simplify additivity problems and provide more elegant solutions. This paper contributes to the understanding of direct sum constructions as a tool for solving mathematical problems and may have practical applications in fields such as computer science and engineering.",2007-08-21,True
"Modulational instability in nonlocal Kerr-type media with random
  parameters","  Modulational instability of continuous waves in nonlocal focusing and
defocusing Kerr media with stochastically varying diffraction (dispersion) and
nonlinearity coefficients is studied both analytically and numerically. It is
shown that nonlocality with the sign-definite Fourier images of the medium
response functions suppresses considerably the growth rate peak and bandwidth
of instability caused by stochasticity. Contrary, nonlocality can enhance
modulational instability growth for a response function with negative-sign
bands.
",2009-11-13,False
"Modulational instability in nonlocal Kerr-type media with random
  parameters","The research paper titled ""Modulational instability in nonlocal Kerr-type media with random parameters"" aims to investigate the impact of random parameters on the modulational instability in nonlocal Kerr-type media. The study is conducted using a mathematical model and numerical simulations to analyze the effect of random parameters on the instability growth rate and the threshold of the instability. The key findings of the study reveal that the presence of random parameters leads to a decrease in the instability threshold and an increase in the growth rate of the instability. The study also highlights the importance of considering the effect of random parameters in the analysis of modulational instability in nonlocal Kerr-type media. The conclusions drawn from this study emphasize the need for further research in this area to gain a better understanding of the behavior of nonlinear optical systems with random parameters.",2009-11-13,True
