title,abstract,update_date,ai_generated
Fixed Phase Quantum Search Algorithm,"  Building quantum devices using fixed operators is a must to simplify the
hardware construction. Quantum search engine is not an exception. In this
paper, a fixed phase quantum search algorithm that searches for M matches in an
unstructured search space of size N will be presented. Selecting phase shifts
of 1.91684\pi in the standard amplitude amplification will make the technique
perform better so as to get probability of success at least 99.58% in
O(sqrt(N/M)) better than any know fixed operator quantum search algorithms. The
algorithm will be able to handle either a single match or multiple matches in
the search space. The algorithm will find a match in O(sqrt(N/M)) whether the
number of matches is known or not in advance.
",2007-10-15,False
Fixed Phase Quantum Search Algorithm,"The Fixed Phase Quantum Search Algorithm (FPQSA) is a novel approach to the well-known Grover's search algorithm. In this paper, we present the concept of FPQSA and demonstrate its potential advantages over the standard Grover's algorithm. We show that the FPQSA can achieve a quadratic speedup over classical search algorithms, and can be implemented with a fixed phase that is independent of the number of search items. We provide a detailed analysis of the algorithm's performance in various scenarios, including the case of multiple marked items, and compare it with other quantum search algorithms. Our results demonstrate that the FPQSA has the potential to be a useful and efficient tool in quantum information processing and quantum computing applications.",2007-10-15,True
Improving immunization strategies,"  We introduce an immunization method where the percentage of required
vaccinations for immunity are close to the optimal value of a targeted
immunization scheme of highest degree nodes. Our strategy retains the advantage
of being purely local, without the need of knowledge on the global network
structure or identification of the highest degree nodes. The method consists of
selecting a random node and asking for a neighbor that has more links than
himself or more than a given threshold and immunizing him. We compare this
method to other efficient strategies on three real social networks and on a
scale-free network model, and find it to be significantly more effective.
",2009-11-13,False
Improving immunization strategies,"This research paper seeks to explore and improve immunization strategies by analyzing current practices and identifying key factors that influence vaccine uptake. Through a comprehensive literature review and analysis of global immunization data, the study found that effective communication, access to healthcare, and community engagement are critical components in improving immunization rates. The paper concludes that implementing targeted interventions that address these factors can significantly enhance vaccine coverage and ultimately contribute to the reduction of vaccine-preventable diseases.",2009-11-13,True
Constraints on the Very Early Universe from Thermal WIMP Dark Matter,"  We investigate the relic density n_\chi of non-relativistic long-lived or
stable particles \chi in non-standard cosmological scenarios. We calculate the
relic abundance starting from arbitrary initial temperatures of the
radiation-dominated epoch, and derive the lower bound on the initial
temperature T_0 \geq m_\chi/23, assuming that thermally produced \chi particles
account for the dark matter energy density in the universe; this bound holds
for all \chi annihilation cross sections. We also investigate cosmological
scenarios with modified expansion rate. Even in this case an approximate
formula similar to the standard one is capable of predicting the final relic
abundance correctly. Choosing the \chi annihilation cross section such that the
observed cold dark matter abundance is reproduced in standard cosmology, we
constrain possible modifications of the expansion rate at T \sim m_\chi/20,
well before Big Bang nucleosynthesis.
",2008-11-26,False
Constraints on the Very Early Universe from Thermal WIMP Dark Matter,"The research paper explores the implications of thermal weakly interacting massive particles (WIMPs) as the dark matter candidate in the early universe. The authors find that if WIMPs were responsible for the observed dark matter, their interactions with the primordial plasma would have affected the early universe's thermal history. By studying the cosmic microwave background radiation and the large-scale structure of the universe, the authors place constraints on the properties of WIMPs and their interactions with the primordial plasma, ruling out certain parameter space. The study provides valuable insights into the nature of dark matter and the early universe and has implications for future dark matter detection experiments.",2008-11-26,True
Flavour-Dependent Type II Leptogenesis,"  We reanalyse leptogenesis via the out-of-equilibrium decay of the lightest
right-handed neutrino in type II seesaw scenarios, taking into account
flavour-dependent effects. In the type II seesaw mechanism, in addition to the
type I seesaw contribution, an additional direct mass term for the light
neutrinos is present. We consider type II seesaw scenarios where this
additional contribution arises from the vacuum expectation value of a Higgs
triplet, and furthermore an effective model-independent approach. We
investigate bounds on the flavour-specific decay asymmetries, on the mass of
the lightest right-handed neutrino and on the reheat temperature of the early
universe, and compare them to the corresponding bounds in the type I seesaw
framework. We show that while flavour-dependent thermal type II leptogenesis
becomes more efficient for larger mass scale of the light neutrinos, and the
bounds become relaxed, the type I seesaw scenario for leptogenesis becomes more
constrained. We also argue that in general, flavour-dependent effects cannot be
ignored when dealing with leptogenesis in type II seesaw models.
",2008-11-26,False
Flavour-Dependent Type II Leptogenesis,"Flavour-Dependent Type II Leptogenesis is a theoretical framework that investigates the role of flavour symmetry in generating the observed matter-antimatter asymmetry of the universe. In this research paper, the authors propose a new model that incorporates flavour-dependent effects into Type II leptogenesis, which is a mechanism that generates a net lepton number asymmetry through the decay of heavy particles. The authors show that the model can successfully reproduce the observed baryon asymmetry of the universe and that the flavour-dependent effects play a crucial role in this process. The proposed model also predicts new phenomena that can be tested in future experiments, providing a promising avenue for exploring the fundamental physics underlying the matter-antimatter asymmetry of the universe.",2008-11-26,True
Multi-wavelength Analysis of a Quiet Solar Region,"  We present observations of a solar quiet region obtained by the ground-based
Dutch Open Telescope (DOT), and by instruments on the spacecraft SOHO and
TRACE. The observations were obtained during a coordinated observing campaign
on October 2005. The aim of this work is to present the rich diversity of
fine-scale structures that are found at the network boundaries and their
appearance in different instruments and different spectral lines that span the
photosphere to the corona. Detailed studies of these structures are crucial to
understanding their dynamics in different solar layers, as well as the role
such structures play in the mass balance and heating of the solar atmosphere.
",2007-05-23,False
Multi-wavelength Analysis of a Quiet Solar Region,This research paper presents a multi-wavelength analysis of a quiet solar region to investigate its magnetic and thermal properties. The study utilizes data from multiple instruments on board the Solar Dynamics Observatory (SDO) and Hinode spacecraft. The results reveal the presence of small-scale magnetic fields and temperature variations in the region. The study highlights the importance of multi-wavelength observations for a comprehensive understanding of the solar atmosphere.,2007-05-23,True
"Orbital currents in the Colle-Salvetti correlation energy functional and
  the degeneracy problem","  Popular density functionals for the exchange-correlation energy typically
fail to reproduce the degeneracy of different ground states of open-shell
atoms. As a remedy, functionals which explicitly depend on the current density
have been suggested. We present an analysis of this problem by investigating
functionals that explicitly depend on the Kohn-Sham orbitals. Going beyond the
exact-exchange approximation by adding correlation in the form of the
Colle-Salvetti functional we show how current-dependent terms enter the
Colle-Salvetti expression and their relevance is evaluated. A very good
description of the degeneracy of ground-states for atoms of the first and
second row of the periodic table is obtained.
",2007-07-31,False
"Orbital currents in the Colle-Salvetti correlation energy functional and
  the degeneracy problem","This research paper investigates the Colle-Salvetti correlation energy functional and its ability to handle the degeneracy problem in molecular systems. The study uncovers the presence of orbital currents in the functional and their contribution to the overall correlation energy. The findings suggest that incorporating these currents could improve the functional's accuracy in handling degeneracy. Overall, this research sheds light on the importance of properly handling degeneracy in molecular systems and provides insights into potential improvements for correlation energy functionals.",2007-07-31,True
Turbulence and the Navier-Stokes equations,"  The concept of continuous topological evolution, based upon Cartan's methods
of exterior differential systems, is used to develop a topological theory of
non-equilibrium thermodynamics, within which there exist processes that exhibit
continuous topological change and thermodynamic irreversibility. The technique
furnishes a universal, topological foundation for the partial differential
equations of hydrodynamics and electrodynamics; the technique does not depend
upon a metric, connection or a variational principle. Certain topological
classes of solutions to the Navier-Stokes equations are shown to be equivalent
to thermodynamically irreversible processes.
",2007-05-23,False
Turbulence and the Navier-Stokes equations,"This research paper examines the mathematical model of fluid dynamics known as the Navier-Stokes equations and its application to turbulent flows. The paper investigates the fundamental properties of turbulence and its impact on the Navier-Stokes equations. The study reveals that while the Navier-Stokes equations provide a robust framework for modeling fluid dynamics, turbulence remains a challenging and unsolved problem. The paper concludes by highlighting the critical need for further research to advance our understanding of turbulence and its impact on fluid dynamics.",2007-05-23,True
Numerical estimation of critical parameters using the Bond entropy,"  Using a model of spinless fermions in a lattice with nearest neighbor and
next-nearest neighbor interaction we show that the entropy of the reduced two
site density matrix (the bond entropy) can be used as an extremely accurate and
easy to calculate numerical indicator for the critical parameters of the
quantum phase transition when the basic ordering pattern has a two-site
periodicity. The actual behavior of the bond entropy depends on the particular
characteristics of the transition under study. For the Kosterlitz-Thouless type
phase transition from a Luttinger liquid phase to a charge density wave state
the bond entropy has a local maximum while in the transition from the Luttinger
liquid to the phase separated state the derivative of the bond entropy has a
divergence due to the cancelation of the third eigenvalue of the two-site
reduced density matrix.
",2009-11-13,False
Numerical estimation of critical parameters using the Bond entropy,"This research paper deals with the numerical estimation of critical parameters using the Bond entropy, a measure of the degree of disorder in a system. The paper presents a methodology to estimate critical parameters based on the Bond entropy, which has been shown to be a useful tool for characterizing phase transitions in a variety of physical systems. The authors apply this methodology to a range of systems, including the Ising model, the Potts model, and the XY model, and demonstrate its effectiveness in accurately estimating the critical parameters of these systems. The paper concludes that the Bond entropy is a powerful tool for studying phase transitions and can be used to accurately estimate critical parameters in a variety of physical systems.",2009-11-13,True
"Spontaneous symmetry breaking of solitons trapped in a double-channel
  potential","  We consider a two-dimensional (2D) nonlinear Schrodinger equation with
self-focusing nonlinearity and a quasi-1D double-channel potential, i.e., a
straightforward 2D extension of the well-known double-well potential. The model
may be realized in terms of nonlinear optics and Bose-Einstein condensates. The
variational approximation (VA) predicts a bifurcation breaking the symmetry of
2D solitons trapped in the double channel, the bifurcation being of the
subcritical type. The predictions of the VA are confirmed by numerical
simulations. The work presents the first example of the spontaneous symmetry
breaking (SSB) of 2D solitons in any dual-core system.
",2009-11-13,False
