title,abstract,update_date,ai_generated
"Justification of the coupled-mode approximation for a nonlinear elliptic
  problem with a periodic potential","  Coupled-mode systems are used in physical literature to simplify the
nonlinear Maxwell and Gross-Pitaevskii equations with a small periodic
potential and to approximate localized solutions called gap solitons by
analytical expressions involving hyperbolic functions. We justify the use of
the one-dimensional stationary coupled-mode system for a relevant elliptic
problem by employing the method of Lyapunov--Schmidt reductions in Fourier
space. In particular, existence of periodic/anti-periodic and decaying
solutions is proved and the error terms are controlled in suitable norms. The
use of multi-dimensional stationary coupled-mode systems is justified for
analysis of bifurcations of periodic/anti-periodic solutions in a small
multi-dimensional periodic potential.
",2009-11-13,False
"Justification of the coupled-mode approximation for a nonlinear elliptic
  problem with a periodic potential","This research paper investigates the justification of the coupled-mode approximation for a nonlinear elliptic problem with a periodic potential. The coupled-mode approximation is a commonly used method for approximating solutions to nonlinear problems in physics and engineering. However, its validity for nonlinear elliptic problems with periodic potentials has not been fully explored. In this paper, we present numerical simulations and theoretical analysis to demonstrate the accuracy and effectiveness of the coupled-mode approximation in this particular context. Our results show that the coupled-mode approximation is a reliable method for approximating solutions to nonlinear elliptic problems with periodic potentials, and can be used in a wide range of applications in physics and engineering.",2009-11-13,True
Moving gap solitons in periodic potentials,"  We address existence of moving gap solitons (traveling localized solutions)
in the Gross-Pitaevskii equation with a small periodic potential. Moving gap
solitons are approximated by the explicit localized solutions of the
coupled-mode system. We show however that exponentially decaying traveling
solutions of the Gross-Pitaevskii equation do not generally exist in the
presence of a periodic potential due to bounded oscillatory tails ahead and
behind the moving solitary waves. The oscillatory tails are not accounted in
the coupled-mode formalism and are estimated by using techniques of spatial
dynamics and local center-stable manifold reductions. Existence of bounded
traveling solutions of the Gross--Pitaevskii equation with a single bump
surrounded by oscillatory tails on a finite large interval of the spatial scale
is proven by using these technique. We also show generality of oscillatory
tails in other nonlinear equations with a periodic potential.
",2009-11-13,False
Moving gap solitons in periodic potentials,"This research paper explores the possibility of using moving gap solitons in periodic potentials as a basis for various applications. The study investigates the dynamics of these solitons and their behavior under different conditions. The theoretical analysis is supported by numerical simulations, which demonstrate the potential of these solitons for applications such as optical communication, signal processing, and sensing. The results suggest that moving gap solitons in periodic potentials can be a promising basis for various applications, and further experimental studies are necessary to validate these findings.",2009-11-13,True
Strange stars and the cosmological constant problem,"  The cosmological constant problem represents an evident tension between our
present description of gravity and particle physics. Many solutions have been
proposed, but experimental tests are always difficult or impossible to perform
and present phenomenological investigations focus only on possible relations
with the dark energy, that is with the accelerating expansion rate of the
contemporary universe. Here I suggest that strange stars, if they exist, could
represent an interesting laboratory to investigate this puzzle, since their
equilibrium configuration is partially determined by the QCD vacuum energy
density.
",2014-11-18,False
Strange stars and the cosmological constant problem,"The research paper titled ""Strange stars and the cosmological constant problem"" explores the relationship between strange stars and the cosmological constant problem, which is a major mystery in modern astrophysics. The paper suggests that strange stars, which are hypothetical objects made entirely of strange quarks, may hold the key to solving the cosmological constant problem.

The paper presents a detailed analysis of the properties of strange stars and how they can be used to explain the observed acceleration of the expansion of the universe. The authors argue that strange stars can create a gravitational repulsion that is strong enough to counteract the effects of dark energy, which is the leading explanation for the observed acceleration.

The paper also discusses the implications of the proposed solution to the cosmological constant problem, including the possibility of new insights into the fundamental nature of matter and the universe as a whole. The authors conclude that further research into strange stars is necessary to fully understand their properties and potential role in solving the cosmological constant problem.

Overall, the paper offers an intriguing new perspective on the cosmological constant problem and suggests that strange stars may be an important piece of the puzzle.",2014-11-18,True
Graphene bilayer with a twist: electronic structure,"  Electronic properties of bilayer and multilayer graphene have generally been
interpreted in terms of AB or Bernal stacking. However, it is known that many
types of stacking defects can occur in natural and synthetic graphite; rotation
of the top layer is often seen in scanning tunneling microscopy (STM) studies
of graphite. In this paper we consider a graphene bilayer with a relative small
angle rotation between the layers and calculate the electronic structure near
zero energy in a continuum approximation. Contrary to what happens in a AB
stacked bilayer and in accord with observations in epitaxial graphene we find:
(a) the low energy dispersion is linear, as in a single layer, but the Fermi
velocity can be significantly smaller than the single layer value; (b) an
external electric field, perpendicular to the layers, does not open an
electronic gap
",2011-11-09,False
Graphene bilayer with a twist: electronic structure,"This research paper explores the electronic structure of a graphene bilayer with a twist. Graphene has been extensively studied due to its unique electronic properties, but adding a twist to the bilayer structure introduces a new level of complexity. Using first-principles calculations, we investigate how the twist affects the electronic band structure and density of states. We find that the twist introduces new states near the Fermi level, which could have potential applications in electronic devices. Our findings contribute to a better understanding of the electronic properties of twisted graphene bilayers and pave the way for further exploration of their potential technological applications.",2011-11-09,True
Velocity selection problem in the presence of the triple junction,"  Melting of a bicrystal along the grain boundary is discussed. A triple
junction plays a crucial role in the velocity selection problem in this case.
In some range of the parameters an entirely analytical solution of this problem
is given. This allows to present a transparent picture of the structure of the
selection theory. We also discuss the selection problem in the case of the
growth of a ``eutectoid dendrite'' where a triple junction is present because
three phases are involved in the eutectoid reaction.
",2009-11-13,False
Velocity selection problem in the presence of the triple junction,"The research paper titled ""Velocity selection problem in the presence of the triple junction"" aims to investigate the effect of the triple junction on the velocity selection problem in materials science. The triple junction is a common feature in polycrystalline materials, where three grain boundaries meet at a point. The researchers used computer simulations to study the behavior of atoms at the triple junction under various conditions.

The main objective of the study was to understand how the triple junction affects the velocity selection problem, which is a phenomenon where atoms with different velocities have different probabilities of being incorporated into the crystal lattice. The researchers found that the presence of the triple junction can significantly affect the velocity selection process, leading to the formation of disordered regions in the crystal lattice.

The study also revealed that the triple junction acts as a barrier to the movement of atoms, which can lead to the formation of defects and dislocations in the crystal lattice. The researchers suggest that understanding the role of the triple junction in the velocity selection problem can help to improve the mechanical properties of polycrystalline materials and prevent the formation of defects.

In conclusion, the research paper highlights the importance of studying the behavior of atoms at the triple junction in materials science. The study provides valuable insights into the velocity selection problem and its impact on the mechanical properties of polycrystalline materials. The researchers suggest that further studies are needed to fully understand the complex interactions at the triple junction and their effect on the behavior of atoms in polycrystalline materials.",2009-11-13,True
Radio Lobes of Pictor A: an X-ray spatially resolved Study,"  A new XMM observation has made possible a detailed study of both lobes of the
radio galaxy Pictor A. Their X-ray emission is of non thermal origin and due to
Inverse Compton scattering of the microwave background photons by relativistic
electrons in the lobes, as previously found. In both lobes, the equipartition
magnetic field (Beq) is bigger than the Inverse Compton value (Bic), calculated
from the radio and X-ray flux ratio. The Beq/Bic ratio never gets below 2, in
spite of the large number of reasonable assumptions tested to calculate Beq,
suggesting a lobe energetic dominated by particles. The X-ray data quality is
good enough to allow a spatially resolved analysis. Our study shows that Bic
varies through the lobes. It appears to increase behind the hot spots. On the
contrary, a rather uniform distribution of the particles is observed. As a
consequence, the radio flux density variation along the lobes appears to be
mainly driven by magnetic field changes.
",2009-11-13,False
Radio Lobes of Pictor A: an X-ray spatially resolved Study,"The research paper presents a study of the radio lobes of Pictor A using X-ray spatially resolved analysis. The lobes were found to have a complex structure, with different regions exhibiting distinct spectral properties. The X-ray emission was found to be dominated by synchrotron radiation, with evidence of inverse Compton scattering in some regions. The study provides insights into the physical processes responsible for the formation and evolution of radio lobes. The findings have implications for understanding the role of active galactic nuclei in the evolution of galaxies.",2009-11-13,True
"A quantitative study on the growth variability of tumour cell clones in
  vitro","  Objectives: In this study, we quantify the growth variability of tumour cell
clones from a human leukemia cell line. Materials and methods: We have used
microplate spectrophotometry to measure the growth kinetics of hundreds of
individual cell clones from the Molt3 cell line. The growth rate of each clonal
population has been estimated by fitting experimental data with the logistic
equation. Results: The growth rates were observed to vary among different
clones. Up to six clones with a growth rate above or below the mean growth rate
of the parent population were further cloned and the growth rates of their
offsprings were measured. The distribution of the growth rates of the subclones
did not significantly differ from that of the parent population thus suggesting
that growth variability has an epigenetic origin. To explain the observed
distributions of clonal growth rates we have developed a probabilistic model
assuming that the fluctuations in the number of mitochondria through successive
cell cycles are the leading cause of growth variability. For fitting purposes,
we have estimated experimentally by flow cytometry the maximum average number
of mitochondria in Molt3 cells. The model fits nicely the observed
distributions of growth rates, however, cells in which the mitochondria were
rendered non functional (rho-0 cells) showed only a 30% reduction in the clonal
growth variability with respect to normal cells. Conclusions: A tumor cell
population is a dynamic ensemble of clones with highly variable growth rate. At
least part of this variability is due to fluctuations in the number of
mitochondria.
",2007-05-23,False
"A quantitative study on the growth variability of tumour cell clones in
  vitro","This research paper aims to investigate the growth variability of tumour cell clones in vitro through a quantitative study. Tumour cell clones play a crucial role in cancer progression and are essential in the development of cancer therapies. The study utilized various methods such as microscopy, flow cytometry, and statistical analysis to measure the growth variability of tumour cell clones. The results of the study showed that tumour cell clones have significant growth variability, which can have implications for cancer therapy development. The study also provides insights into the potential mechanisms that contribute to the growth variability of tumour cell clones. Overall, this research paper provides valuable information on the growth variability of tumour cell clones and its potential implications for cancer therapy development.",2007-05-23,True
"Relativistic interaction of a high intensity photon beam with a plasma:
  a possible GRB emission mechanism","  A long duration photon beam can induce macroscopic coherent effects on a
plasma by single photon electron scattering if the probability of the
interaction approaches 1 in a volume of unit surface and length equal to the
plasma typical wavelength, and the induced electron oscillations become
relativistic in few plasma cycles. A fraction of the plasma electrons is
accelerated through the Wakefield mechanism by the cavities created by the
photon-electron interactions and radiates through boosted betraton emission in
the same cavities. The resulting emission in this framework is very similar to
the typical GRB radiation. Several comparisons with GRB light curves and
spectral-energy correlations will be presented.
",2019-08-19,False
