title,abstract,update_date,ai_generated
"Phase structure, collective modes, and the axial anomaly in dense QCD","  Using a general Ginzburg-Landau effective Lagrangian, we study the
topological structure and low-lying collective modes of dense QCD having both
chiral and diquark condensates, for two and three massless flavors. As we found
earlier, the QCD axial anomaly acts as an external field applied to the chiral
condensate in a color superconductor and, as a new critical point emerges,
leads to a crossover between the broken chiral symmetry and color
superconducting phases. At intermediate densities where both chiral and diquark
condensates are present, we derive a generalized Gell-Mann- Oakes-Renner
relation between the masses of pseudoscalar bosons and the magnitude of the
chiral and diquark-condensates. We show explicitly the continuity of the
ordinary pion at low densities to a generalized pion at high densities.
",2008-11-26,False
"Phase structure, collective modes, and the axial anomaly in dense QCD","The paper ""Phase structure, collective modes, and the axial anomaly in dense QCD"" focuses on studying the properties of dense quark matter in Quantum Chromodynamics (QCD), the theory of strong interactions. The authors use a combination of analytical and numerical techniques to explore the phase structure of dense QCD at finite temperature and density, as well as the collective modes of the system and the effects of the axial anomaly.

The axial anomaly is a phenomenon in QCD that arises due to the non-conservation of the axial current in the presence of strong gauge fields. The authors show that the axial anomaly has important consequences for the properties of dense QCD, including the excitation spectrum of the system and the behavior of the chiral condensate.

One of the main outcomes of the paper is the identification of a new phase of dense QCD, known as the chiral density wave phase. This phase is characterized by the spontaneous breaking of translational symmetry and the formation of a spatially modulated chiral condensate. The authors also analyze the collective modes of the system in this phase, including the emergence of a new gapless mode known as the chiral magnetic wave.

Overall, the paper provides new insights into the properties of dense quark matter in QCD and highlights the important role played by the axial anomaly in shaping the behavior of the system.",2008-11-26,True
658 GHz Vibrationally-Excited Water Masers with the Submillimeter Array,"  Discovered in 1995 at the Caltech Submillimeter Observatory (CSO), the
vibrationally-excited water maser line at 658 GHz (455 micron) is seen in
oxygen-rich giant and supergiant stars. Because this maser can be so strong (up
to thousands of Janskys), it was very helpful during the commissioning phase of
the highest frequency band (620-700 GHz) of the Submillimeter Array (SMA)
interferometer. From late 2002 to early 2006, brief attempts were made to
search for emission from additional sources beyond the original CSO survey.
These efforts have expanded the source count from 10 to 16. The maser emission
appears to be quite compact spatially, as expected from theoretical
considerations; thus these objects can potentially be used as atmospheric phase
calibrators. Many of these objects also exhibit maser emission in the
vibrationally-excited SiO maser at 215 GHz. Because both maser lines likely
originate from a similar physical region, these objects can be used to test
techniques of phase transfer calibration between millimeter and submillimeter
bands. The 658 GHz masers will be important beacons to assess the performance
of the Atacama Large Millimeter Array (ALMA) in this challenging high-frequency
band.
",2015-03-30,False
658 GHz Vibrationally-Excited Water Masers with the Submillimeter Array,"This research paper explores the detection of 658 GHz vibrationally-excited water masers using the Submillimeter Array (SMA). The study aims to understand the physical properties and dynamics of the maser emission in the context of star-forming regions and active galactic nuclei. The observations were carried out using the SMA, a state-of-the-art radio interferometer located in Hawaii, and the analysis was performed using advanced data reduction and modeling techniques. The results demonstrate the high sensitivity and resolution of the SMA in detecting and characterizing the maser emission, providing valuable insights into the processes that drive the formation and evolution of galaxies and stars. The paper concludes with a discussion of the implications of these findings for future observational studies of maser emission and their role in astrophysical processes.",2015-03-30,True
"Couplings between a collection of BF models and a set of three-form
  gauge fields","  Consistent interactions that can be added to a free, Abelian gauge theory
comprising a collection of BF models and a set of three-form gauge fields are
constructed from the deformation of the solution to the master equation based
on specific cohomological techniques. Under the hypotheses of smooth, local, PT
invariant, Lorentz covariant, and Poincare invariant interactions, supplemented
with the requirement on the preservation of the number of derivatives on each
field with respect to the free theory, we obtain that the deformation procedure
modifies the Lagrangian action, the gauge transformations as well as the
accompanying algebra.
",2007-05-23,False
"Couplings between a collection of BF models and a set of three-form
  gauge fields","This research paper explores the couplings between BF models and three-form gauge fields. Through a series of calculations and analyses, the authors demonstrate that these couplings can lead to interesting physical phenomena, such as the emergence of topological defects and the breakdown of gauge symmetry. The results of this study shed light on the complex interplay between different types of gauge fields and could have implications for the development of new models in theoretical physics.",2007-05-23,True
"The integral equation approach to kinematic dynamo theory and its
  application to dynamo experiments in cylindrical geometry","  The conventional magnetic induction equation that governs hydromagnetic
dynamo action is transformed into an equivalent integral equation system. An
advantage of this approach is that the computational domain is restricted to
the region occupied by the electrically conducting fluid and to its boundary.
This integral equation approach is first employed to simulate kinematic dynamos
excited by Beltrami-like flows in a finite cylinder. The impact of externally
added layers around the cylinder on the onset of dynamo actions is
investigated. Then it is applied to simulate dynamo experiments within
cylindrical geometry including the von Karman sodium (VKS) experiment and the
Riga dynamo experiment. A modified version of this approach is utilized to
investigate magnetic induction effects under the influence of externally
applied magnetic fields which is also important to measure the proximity of a
given dynamo facility to the self-excitation threshold.
",2009-06-23,False
"The integral equation approach to kinematic dynamo theory and its
  application to dynamo experiments in cylindrical geometry",This research paper focuses on the integral equation approach to kinematic dynamo theory and its application to dynamo experiments in cylindrical geometry. The primary theme of the paper is to explore the use of integral equations as a tool for understanding the behavior of dynamos in cylindrical geometry. The paper discusses the theoretical framework of the integral equation approach and its application to dynamo experiments. The significant findings of the research include a better understanding of the role of the magnetic field in dynamo experiments and the importance of boundary conditions in cylindrical geometry. The paper concludes that the integral equation approach is a powerful tool for studying dynamo behavior in cylindrical geometry and can be used to gain insights into the fundamental mechanisms of dynamos.,2009-06-23,True
"No cross-interactions between the Weyl graviton and the massless
  Rarita-Schwinger field","  The proof of the fact that there are no nontrivial, consistent
cross-couplings that can be added between the Weyl graviton and the massless
Rarita-Schwinger field is accomplished by means of a cohomological approach,
based on the deformation of the solution to the master equation from the
antifield-Becchi-Rouet-Stora-Tyutin (BRST) formalism. The procedure developed
here relies on the assumptions of locality, smoothness, (background) Lorentz
invariance, Poincare invariance, and preservation of the number of derivatives
with respect to each field (the last hypothesis was made only in antighost
number zero).
",2008-11-26,False
"No cross-interactions between the Weyl graviton and the massless
  Rarita-Schwinger field","This research paper delves into the question of whether there are any cross-interactions between the Weyl graviton and the massless Rarita-Schwinger field. The study uses mathematical models to explore the theoretical possibilities of such interactions and analyzes experimental data to determine if they exist in the physical world. The results of this research have implications for our understanding of the fundamental forces of nature and provide insights into the behavior of quantum particles. Ultimately, this study sheds light on a complex and important topic in the field of physics and contributes to the ongoing quest for a unified theory of everything.",2008-11-26,True
