title,abstract,update_date,ai_generated
The Design of Efficiently-Encodable Rate-Compatible LDPC Codes,"  We present a new class of irregular low-density parity-check (LDPC) codes for
moderate block lengths (up to a few thousand bits) that are well-suited for
rate-compatible puncturing. The proposed codes show good performance under
puncturing over a wide range of rates and are suitable for usage in incremental
redundancy hybrid-automatic repeat request (ARQ) systems. In addition, these
codes are linear-time encodable with simple shift-register circuits. For a
block length of 1200 bits the codes outperform optimized irregular LDPC codes
and extended irregular repeat-accumulate (eIRA) codes for all puncturing rates
0.6~0.9 (base code performance is almost the same) and are particularly good at
high puncturing rates where good puncturing performance has been previously
difficult to achieve.
",2016-11-18,False
The Design of Efficiently-Encodable Rate-Compatible LDPC Codes,"This research paper presents a novel approach for designing rate-compatible low-density parity-check (LDPC) codes that can be efficiently encoded. The proposed method utilizes the concept of puncturing and shortening to achieve rate compatibility. The main contribution of the paper is the development of an efficient algorithm for generating rate-compatible LDPC codes with good performance. The proposed codes are evaluated through simulations, and the results demonstrate that they achieve competitive performance compared to state-of-the-art rate-compatible LDPC codes. The proposed methodology can be used for the design of efficient and flexible communication systems that can adapt to different channel conditions and data rates. Overall, the findings of this research provide insights into the development of rate-compatible LDPC codes that can be efficiently implemented in practical applications.",2016-11-18,True
"The Solar-Interior Equation of State with the Path-Integral Formalism I.
  Domain of Validity","  This is the first paper in a series that deals with solar-physics
applications of the equation-of-state formalism based on the formulation of the
so-called ""Feynman-Kac (FK) representation"". Here, the FK equation of state is
presented and adapted for solar applications. Its domain of validity is
assessed. The practical application to the Sun will be dealt with in Paper II.
Paper III will extend the current FK formalism to a higher order. Use of the FK
equation of state is limited to physical conditions for which more than 90% of
helium is ionized. This incudes the inner region of the Sun out to about .98 of
the solar radius. Despite this limitation, in the parts of the Sun where it is
applicable, the FK equation of state has the power to be more accurate than the
equations of state currently used in solar modeling. The FK approach is
especially suited to study physical effects such as Coulomb screening, bound
states, the onset of recombination of fully ionized species, as well as
diffraction and exchange effects. The localizing power of helioseismology
allows a test of the FK equation of state. Such a test will be beneficial both
for better solar models and for tighter solar constraints of the equation of
state.
",2009-08-07,False
"The Solar-Interior Equation of State with the Path-Integral Formalism I.
  Domain of Validity","The research paper titled ""The Solar-Interior Equation of State with the Path-Integral Formalism I. Domain of Validity"" presents a new approach to understanding the equation of state for the solar interior. The authors use the path-integral formalism to calculate the equation of state, which gives a more accurate description of the behavior of matter at high temperatures and densities. The study focuses on the domain of validity of the equation of state and found that the path-integral approach leads to a better agreement with observational data than previous models. The authors conclude that their new approach provides a more accurate description of the solar interior and can be applied to other astrophysical systems.",2009-08-07,True
Modified Brans-Dicke theory of gravity from five-dimensional vacuum,"  We investigate, in the context of five-dimensional (5D) Brans-Dicke theory of
gravity, the idea that macroscopic matter configurations can be generated from
pure vacuum in five dimensions, an approach first proposed in the framework of
general relativity. We show that the 5D Brans-Dicke vacuum equations when
reduced to four dimensions lead to a modified version of Brans-Dicke theory in
four dimensions (4D). As an application of the formalism, we obtain two
five-dimensional extensions of four-dimensional O'Hanlon and Tupper vacuum
solution and show that they lead two different cosmological scenarios in 4D.
",2008-11-26,False
Modified Brans-Dicke theory of gravity from five-dimensional vacuum,"This research paper investigates the Modified Brans-Dicke (MBD) theory of gravity derived from five-dimensional vacuum. The study analyzes the impact of the additional dimension on the scalar field of the MBD theory and derives the corresponding field equations. Our results reveal that the additional dimension's effect leads to the emergence of an additional scalar field, which influences the dynamics of gravity. The analysis reveals that the theory's predictions are consistent with the current experimental data. Furthermore, the study shows that the MBD theory can provide an alternative explanation for the dark matter and dark energy problems. The outcomes of this research have significant implications for the understanding of gravity and the universe's evolution.",2008-11-26,True
Free zero-range processes on networks,"  A free zero-range process (FRZP) is a simple stochastic process describing
the dynamics of a gas of particles hopping between neighboring nodes of a
network. We discuss three different cases of increasing complexity: (a) FZRP on
a rigid geometry where the network is fixed during the process, (b) FZRP on a
random graph chosen from a given ensemble of networks, (c) FZRP on a dynamical
network whose topology continuously changes during the process in a way which
depends on the current distribution of particles. The case (a) provides a very
simple realization of the phenomenon of condensation which manifests as the
appearance of a condensate of particles on the node with maximal degree. The
case (b) is very interesting since the averaging over typical ensembles of
graphs acts as a kind of homogenization of the system which makes all nodes
identical from the point of view of the FZRP. In the case (c), the distribution
of particles and the dynamics of network are coupled to each other. The
strength of this coupling depends on the ratio of two time scales: for changes
of the topology and of the FZRP. We will discuss a specific example of that
type of interaction and show that it leads to an interesting phase diagram.
",2007-10-25,False
Free zero-range processes on networks,"This research paper explores the use of free zero-range processes on networks as a basis for studying complex systems. Zero-range processes have been widely used in the study of particle systems, but their application to networked systems remains largely unexplored. In this paper, we investigate the properties of free zero-range processes on networks and demonstrate their usefulness in modeling a range of phenomena, from traffic flow to the spread of disease. We also provide a theoretical framework for analyzing these processes and discuss their potential applications in fields such as physics, biology, and engineering. Our findings suggest that free zero-range processes on networks offer a promising approach for understanding the behavior of complex systems and may lead to new insights and discoveries in a variety of fields.",2007-10-25,True
"Tail universalities in rank distributions as an algebraic problem: the
  beta-like function","  Although power laws of the Zipf type have been used by many workers to fit
rank distributions in different fields like in economy, geophysics, genetics,
soft-matter, networks etc., these fits usually fail at the tails. Some
distributions have been proposed to solve the problem, but unfortunately they
do not fit at the same time both ending tails. We show that many different data
in rank laws, like in granular materials, codons, author impact in scientific
journal, etc. are very well fitted by a beta-like function. Then we propose
that such universality is due to the fact that a system made from many
subsystems or choices, imply stretched exponential frequency-rank functions
which qualitatively and quantitatively can be fitted with the proposed
beta-like function distribution in the limit of many random variables. We prove
this by transforming the problem into an algebraic one: finding the rank of
successive products of a given set of numbers.
",2015-10-12,False
"Tail universalities in rank distributions as an algebraic problem: the
  beta-like function","This research paper aims to investigate the emergence of universal properties in rank distributions by exploring the algebraic basis of the beta-like function. The study utilizes mathematical models and analytical tools to examine the relationship between the beta-like function and tail universalities in rank distributions. The paper highlights the significance of the beta-like function as a basis for understanding the underlying algebraic structure of power-law distributions. The findings of this research contribute to the understanding of the mechanisms that govern the emergence of universal properties in complex systems and provide insights into the mathematical foundations of power-law distributions. Overall, this study sheds light on the algebraic problem of tail universalities in rank distributions and presents the beta-like function as a potential solution.",2015-10-12,True
