title,abstract,update_date,ai_generated
"Calculation of prompt diphoton production cross sections at Tevatron and
  LHC energies","  A fully differential calculation in perturbative quantum chromodynamics is
presented for the production of massive photon pairs at hadron colliders. All
next-to-leading order perturbative contributions from quark-antiquark,
gluon-(anti)quark, and gluon-gluon subprocesses are included, as well as
all-orders resummation of initial-state gluon radiation valid at
next-to-next-to-leading logarithmic accuracy. The region of phase space is
specified in which the calculation is most reliable. Good agreement is
demonstrated with data from the Fermilab Tevatron, and predictions are made for
more detailed tests with CDF and DO data. Predictions are shown for
distributions of diphoton pairs produced at the energy of the Large Hadron
Collider (LHC). Distributions of the diphoton pairs from the decay of a Higgs
boson are contrasted with those produced from QCD processes at the LHC, showing
that enhanced sensitivity to the signal can be obtained with judicious
selection of events.
",2008-11-26,False
"Calculation of prompt diphoton production cross sections at Tevatron and
  LHC energies","The research paper titled ""Calculation of prompt diphoton production cross sections at Tevatron and LHC energies"" aimed to calculate the production cross sections of prompt diphoton events at both Tevatron and LHC energies. The primary objective was to provide theoretical predictions for these cross sections, which could be compared with experimental data to test the validity of the Standard Model of particle physics. 

The researchers used the Next-to-Leading-Order (NLO) QCD calculations to predict the cross sections for diphoton production. They also compared their results with previous calculations and experimental data. 

The study concluded that the NLO QCD calculations provide reasonable predictions for the prompt diphoton production cross sections at both Tevatron and LHC energies. The results were consistent with previous calculations and experimental data, which provides further evidence for the validity of the Standard Model. 

Overall, this research provides valuable insights into the production of prompt diphoton events and further supports the Standard Model of particle physics.",2008-11-26,True
Polymer Quantum Mechanics and its Continuum Limit,"  A rather non-standard quantum representation of the canonical commutation
relations of quantum mechanics systems, known as the polymer representation has
gained some attention in recent years, due to its possible relation with Planck
scale physics. In particular, this approach has been followed in a symmetric
sector of loop quantum gravity known as loop quantum cosmology. Here we explore
different aspects of the relation between the ordinary Schroedinger theory and
the polymer description. The paper has two parts. In the first one, we derive
the polymer quantum mechanics starting from the ordinary Schroedinger theory
and show that the polymer description arises as an appropriate limit. In the
second part we consider the continuum limit of this theory, namely, the reverse
process in which one starts from the discrete theory and tries to recover back
the ordinary Schroedinger quantum mechanics. We consider several examples of
interest, including the harmonic oscillator, the free particle and a simple
cosmological model.
",2008-11-26,False
Polymer Quantum Mechanics and its Continuum Limit,"This research paper investigates the application of quantum mechanics to polymer systems and its continuum limit. The study demonstrates the potential of quantum mechanics in predicting the properties and behavior of polymer materials at the molecular level. The research also explores the continuum limit of polymer systems, which is an essential concept in modeling polymers at a larger scale. The results suggest that the continuum limit can provide useful insights into the behavior of polymer materials and help in developing new materials with desired properties. Overall, this study highlights the significance of the intersection of quantum mechanics and polymer science and its potential impact on materials research and development.",2008-11-26,True
"Numerical solution of shock and ramp compression for general material
  properties","  A general formulation was developed to represent material models for
applications in dynamic loading. Numerical methods were devised to calculate
response to shock and ramp compression, and ramp decompression, generalizing
previous solutions for scalar equations of state. The numerical methods were
found to be flexible and robust, and matched analytic results to a high
accuracy. The basic ramp and shock solution methods were coupled to solve for
composite deformation paths, such as shock-induced impacts, and shock
interactions with a planar interface between different materials. These
calculations capture much of the physics of typical material dynamics
experiments, without requiring spatially-resolving simulations. Example
calculations were made of loading histories in metals, illustrating the effects
of plastic work on the temperatures induced in quasi-isentropic and
shock-release experiments, and the effect of a phase transition.
",2009-02-05,False
"Numerical solution of shock and ramp compression for general material
  properties","This research paper proposes a numerical approach for solving shock and ramp compression problems for materials with general properties. The study focuses on developing a computational algorithm that can predict the behavior of materials under extreme conditions, such as shock and ramp compression. The proposed method employs a finite element approach to solve the governing equations of motion for the material. The study also considers the effect of various material properties, including elasticity, plasticity, and viscosity, on the response of the material to compression. The results of the numerical simulations are compared with experimental data to validate the accuracy of the proposed method. The study finds that the developed algorithm provides an efficient and accurate tool for predicting the response of materials under extreme conditions, which can be useful in designing and optimizing materials for various applications.",2009-02-05,True
"Partial cubes: structures, characterizations, and constructions","  Partial cubes are isometric subgraphs of hypercubes. Structures on a graph
defined by means of semicubes, and Djokovi\'{c}'s and Winkler's relations play
an important role in the theory of partial cubes. These structures are employed
in the paper to characterize bipartite graphs and partial cubes of arbitrary
dimension. New characterizations are established and new proofs of some known
results are given.
  The operations of Cartesian product and pasting, and expansion and
contraction processes are utilized in the paper to construct new partial cubes
from old ones. In particular, the isometric and lattice dimensions of finite
partial cubes obtained by means of these operations are calculated.
",2007-05-23,False
"Partial cubes: structures, characterizations, and constructions","Partial cubes are a class of graphs that have been studied extensively due to their applications in fields such as computer science and chemistry. In this paper, we explore the structure and characterization of partial cubes, as well as their constructions. We prove several important theorems, including a characterization of partial cubes based on their cut vertices, and a construction method for partial cubes based on their spanning trees. Additionally, we investigate the properties and applications of partial cubes in various contexts, such as graph coloring and graph isomorphism. Our results provide a deeper understanding of partial cubes and their significance in both theoretical and practical domains.",2007-05-23,True
Stochastic Lie group integrators,"  We present Lie group integrators for nonlinear stochastic differential
equations with non-commutative vector fields whose solution evolves on a smooth
finite dimensional manifold. Given a Lie group action that generates transport
along the manifold, we pull back the stochastic flow on the manifold to the Lie
group via the action, and subsequently pull back the flow to the corresponding
Lie algebra via the exponential map. We construct an approximation to the
stochastic flow in the Lie algebra via closed operations and then push back to
the Lie group and then to the manifold, thus ensuring our approximation lies in
the manifold. We call such schemes stochastic Munthe-Kaas methods after their
deterministic counterparts. We also present stochastic Lie group integration
schemes based on Castell--Gaines methods. These involve using an underlying
ordinary differential integrator to approximate the flow generated by a
truncated stochastic exponential Lie series. They become stochastic Lie group
integrator schemes if we use Munthe-Kaas methods as the underlying ordinary
differential integrator. Further, we show that some Castell--Gaines methods are
uniformly more accurate than the corresponding stochastic Taylor schemes.
Lastly we demonstrate our methods by simulating the dynamics of a free rigid
body such as a satellite and an autonomous underwater vehicle both perturbed by
two independent multiplicative stochastic noise processes.
",2007-10-16,False
Stochastic Lie group integrators,"This research paper aims to introduce and analyze the concept of stochastic Lie group integrators, which are numerical methods used to solve stochastic differential equations on Lie groups. The paper will first provide a brief overview of Lie groups and their relevance in physics and mathematics, followed by a discussion of stochastic differential equations and their applications. The main focus of the paper will be on the development and analysis of various stochastic Lie group integrators, including their convergence properties and computational efficiency. The paper will also include numerical simulations and comparisons of different stochastic Lie group integrators to demonstrate their effectiveness in solving stochastic differential equations on Lie groups. The results of this study have implications for a wide range of fields, including physics, engineering, and finance.",2007-10-16,True
ALMA as the ideal probe of the solar chromosphere,"  The very nature of the solar chromosphere, its structuring and dynamics,
remains far from being properly understood, in spite of intensive research.
Here we point out the potential of chromospheric observations at millimeter
wavelengths to resolve this long-standing problem. Computations carried out
with a sophisticated dynamic model of the solar chromosphere due to Carlsson
and Stein demonstrate that millimeter emission is extremely sensitive to
dynamic processes in the chromosphere and the appropriate wavelengths to look
for dynamic signatures are in the range 0.8-5.0 mm. The model also suggests
that high resolution observations at mm wavelengths, as will be provided by
ALMA, will have the unique property of reacting to both the hot and the cool
gas, and thus will have the potential of distinguishing between rival models of
the solar atmosphere. Thus, initial results obtained from the observations of
the quiet Sun at 3.5 mm with the BIMA array (resolution of 12 arcsec) reveal
significant oscillations with amplitudes of 50-150 K and frequencies of 1.5-8
mHz with a tendency toward short-period oscillations in internetwork and longer
periods in network regions. However higher spatial resolution, such as that
provided by ALMA, is required for a clean separation between the features
within the solar atmosphere and for an adequate comparison with the output of
the comprehensive dynamic simulations.
",2009-06-23,False
ALMA as the ideal probe of the solar chromosphere,"The Atacama Large Millimeter/submillimeter Array (ALMA) is a powerful telescope capable of observing the solar chromosphere in unprecedented detail. In this research paper, we argue that ALMA is the ideal probe of the solar chromosphere due to its high spatial and temporal resolution, sensitivity, and ability to observe at multiple wavelengths. We review recent observations of the chromosphere using ALMA and discuss how these observations have improved our understanding of the dynamics and structure of this region of the solar atmosphere. We also discuss future directions for ALMA observations of the chromosphere and their potential impact on our understanding of solar physics. Overall, we conclude that ALMA is an essential tool for studying the chromosphere and will continue to provide valuable insights into this important region of the Sun.",2009-06-23,True
